"";"code";"label"
"1";"row";"Numerador de los eventos presentes en la Base de Datos/Events in the Dataset"
"2";"table";"Origen de los Datos (de los archivos por año)/Source of Data (of files per year)"
"3";"hash_key";"Codificación del RUT/Masked Identifier (RUT)"
"4";"ano_bd";"Año de la Base de Datos/Year of the Dataset (Source)"
"5";"id";"Codigo Identificación de SENDA/SENDAs ID"
"6";"nombre_centro";"Nombre del Centro de Tratamiento/Treatment Center"
"7";"tipo_centro";"Tipo de Centro/Type of Center"
"8";"region_del_centro";"Región del Centro/Chilean Region of the Center"
"9";"servicio_de_salud";"Servicio de Salud/Health Service"
"10";"tipo_de_programa";"(original, Recodificado en tipo_de_programa_2)/"
"11";"tipo_de_plan";"(original, Recodificado en tipo_de_plan_2)/"
"12";"senda";"SENDA/SENDA"
"13";"dias_trat";"Días de Tratamiento/Days of Treatment"
"14";"nmesesentratamiento";"Número de Meses en Tratamiento/Number of Months in Treatment"
"15";"dias_en_senda";"Días en SENDA/Days in SENDA"
"16";"n_meses_en_senda";"Número de Meses en SENDA/Number of Months in SENDA"
"17";"sexo";"(original, Recodificado en sexo_2)/"
"18";"edad";"Edad (número entero)/Age (In years, Discrete Number)"
"19";"nombre_usuario";"Nombre del Usuario (OCULTO y no accesible)/Name of the User (Not Accessible)"
"20";"comuna_residencia";"Comuna de Residencia/Municipality or District of Residence"
"21";"origen_de_ingreso";"(original, Recodificado en origen_ingreso)/"
"22";"pais_nacimiento";"País de Nacimiento/Country of Birth"
"23";"nacionalidad";"Nacionalidad/Nationality"
"24";"etnia";"Etnia/Ethnicity"
"25";"estado_conyugal";"(original, Recodificado en estado_conyugal_2)/"
"26";"numero_de_hijos";"Número de Hijos/Number of Children"
"27";"num_hijos_ing_trat_res";"Número de Hijos para Ingreso a Tratamiento Residencial/Number of Children to Residential Treatment"
"28";"parentesco_con_el_jefe_de_hogar";"(Sólo presenta valores perdidos)/"
"29";"num_trat_ant";"Número de Tratamientos Anteriores/Number of Previous Treatments"
"30";"fecha_ultimo_tratamiento";"Fecha del Último Tratamiento (aún no formateada como fecha)/Date of the Last Treatment"
"31";"sustancia_de_inicio";"(original, Recodificado en sus_ini)/"
"32";"edad_inicio_consumo";"(original, Recodificado en edad_ini_cons)/"
"33";"x_se_trata_mujer_emb";"Mujer Embarazada al Ingreso/Pregnant at Admission"
"34";"escolaridad_ultimo_ano_cursado";"(original, Recodificado en escolaridad)/"
"35";"condicion_ocupacional";"(original, Recodificado en estatus_ocupacional)/"
"36";"categoria_ocupacional";"(original, Recodificado en cat_ocupacional)/"
"37";"rubro_trabaja";"Rubro de Trabajo/Area of Work"
"38";"con_quien_vive";"Persona con la que vive el Usuario/People that Share Household with the User"
"39";"tipo_de_vivienda";"Tipo de Vivienda/Type of Housing"
"40";"tenencia_de_la_vivienda";"Tenencia de la Vivienda/Tenure status of Households"
"41";"sustancia_principal";"(original, Recodificado en sus_principal)/"
"42";"otras_sustancias_nº1";"(original, Recodificado en otras_sus1)/"
"43";"otras_sustancias_nº2";"(original, Recodificado en otras_sus2)/"
